geometry,method,dH_mean,dH_sd,dH_ci95,R_pi_mean,R_pi_sd,R_pi_ci95,C_D_mean,C_D_sd,C_D_ci95
64,active,0.00012031764257934078,3.667858648798703e-05,1.3125263608624794e-05,0.00013909532071732555,4.57715627862841e-05,1.637914338780372e-05,23.00096254114063,0.000293428691904141,0.00010500210886908594
64,uniform,0.0761813707578738,0.023223734576360466,0.008310506687363736,0.08504942962626684,0.02511681261748194,0.008987935964240485,121.82722433318203,1.1302565677866887,0.4044571183908223
65,active,0.00012220526049433721,4.919828485334367e-05,1.76053801310975e-05,0.0001312180894397423,3.927558148508922e-05,1.4054586333163534e-05,23.00097764208395,0.00039358627882690354,0.00014084304104883515
65,uniform,0.07737655142422693,0.031150816278600425,0.01114717644351921,0.07779097559509372,0.02931367481122861,0.010489763812487523,121.50059390177921,1.3191153665052875,0.47203937156193854
66,active,0.00010980460880442843,3.391203203242283e-05,1.2135264811130557e-05,0.00013950991183719834,5.02227074345159e-05,1.7971965043766288e-05,23.000878436870433,0.0002712962562592164,9.708211848898496e-05
66,uniform,0.06952484635607967,0.021472038763653074,0.007683670391165709,0.07789856199070073,0.024523133059939042,0.008775490462984478,121.50543528958156,1.1035409876972582,0.3948970708343019
67,active,9.942730650125447e-05,3.575064636594296e-05,1.2793204500544473e-05,8.768602185309793e-05,3.108790001432687e-05,1.1124662147497176e-05,15.800795418452015,0.00028600517092749447,0.00010234563600433818
67,uniform,0.06295426287988999,0.022636191893816392,0.00810025723862243,0.04930483433975328,0.02033101724459698,0.007275361084436298,84.21871754528888,0.9148957760068646,0.3273912487996336
68,active,7.759541536288458e-05,3.992861335652135e-05,1.4288270787175622e-05,3.378917626963348e-05,3.5917641804122396e-05,1.285296305062548e-05,12.2006207633229,0.00031942890685199114,0.00011430616629734068
68,uniform,0.04913099176601574,0.0252815500100446,0.009046886483074973,0.023996534018237866,0.01400002538244596,0.005009844742305554,65.0798440308207,0.6300011422100673,0.22544301340374961
69,active,9.578905647615321e-05,3.825615693218624e-05,1.3689789941941143e-05,9.535595757074481e-05,3.316282171217353e-05,1.1867163341222631e-05,15.800766312451811,0.00030604925545739886,0.00010951831953549656
69,uniform,0.06065063667736132,0.024222602874725614,0.008667947117371445,0.043193139346148345,0.015794699354190207,0.005652060575197473,83.94369127057668,0.71076147093856,0.25434272588388657
70,active,0.00011188787004647582,4.860671633492927e-05,1.7393690055491787e-05,9.36975930912536e-05,4.163529626379061e-05,1.4898999422031272e-05,19.40089510296037,0.0003888537306792453,0.00013914952044386672
70,uniform,0.07084390226228764,0.030776253582193047,0.011013140904011318,0.059983665109877,0.026178389632014732,0.009367816420134371,102.69926492994449,1.1780275334406636,0.4215517389060469
71,active,0.00011764488969303715,3.95332760312899e-05,1.4146801142218317e-05,0.00011214689792559334,3.8560548043914426e-05,1.379871490236358e-05,19.400941159117547,0.0003162662082508505,0.00011317440913793664
71,uniform,0.07448906716705544,0.025031234771969415,0.00895731232551935,0.06632151955937256,0.0225331187000896,0.008063372969947299,102.98446838017176,1.013990341504032,0.3628517836476284
72,active,0.0001267666081566465,4.1474867206160055e-05,1.4841590621052151e-05,0.00011131771568584771,5.074224222008491e-05,1.815787817912326e-05,23.001014132865254,0.00033179893764923946,0.00011873272496840253
