seed,dimension,actions,C_V,C_D,DCR,C_B,C_R,F,C_top
27,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
27,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
27,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
27,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
27,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
27,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
28,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
28,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
28,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
28,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
28,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
28,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
28,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
28,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
29,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
29,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
29,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
29,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
29,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
29,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
29,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
29,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
